Step,Loss_train
933,1.984538116054223e-05
934,1.978255160383417e-05
935,1.9837842087567537e-05
936,1.9874138732083892e-05
937,1.9799021228542458e-05
938,1.981507939556759e-05
939,1.9716083694324158e-05
940,1.9765813988690102e-05
941,1.9729865714370562e-05
942,1.9883966036726493e-05
943,1.981580201808404e-05
944,1.973274521924775e-05
945,1.988629119951613e-05
946,1.9849980545709602e-05
947,2.000374613411405e-05
948,1.985556473202506e-05
949,1.9771679646831907e-05
950,1.9779461496623514e-05
951,1.9801449757843357e-05
952,1.9778888959100087e-05
953,1.9919249144875666e-05
954,1.9863375319410834e-05
955,1.982494624771257e-05
956,1.9600332299354386e-05
957,1.979386093278506e-05
958,1.9882788467194665e-05
959,1.985286064546346e-05
960,1.9899145122337338e-05
961,1.9893872798176672e-05
962,1.970372756072226e-05
963,1.9736732751038122e-05
964,1.9762518546425005e-05
965,1.96594254323708e-05
966,1.9838530968843917e-05
967,1.9750479461662785e-05
968,1.976596168055936e-05
969,1.9890195549117414e-05
970,1.9619825740604924e-05
971,1.9804346979975014e-05
972,1.957907399487707e-05
973,1.9771491118587205e-05
974,1.9689267891595707e-05
975,1.9777770871376783e-05
976,1.986624307464251e-05
977,1.984178048004319e-05
978,1.983055079632236e-05
979,1.9879660834302282e-05
980,1.985595082899314e-05
981,1.980954281062777e-05
982,1.982539798901246e-05
983,1.991549689607121e-05
984,1.978643754820145e-05
985,1.9872596435859393e-05
986,1.994606133780951e-05
987,1.9885805034855137e-05
988,1.9777196661960155e-05
989,1.9873994407751774e-05
990,1.9868743260377212e-05
991,1.9755968890474016e-05
992,1.969424177941543e-05
993,1.9691683644902788e-05
994,1.972857184193704e-05
995,1.980124996225134e-05
996,1.9773611995788087e-05
997,1.9689457311601233e-05
998,1.955290124274561e-05
999,1.977134871157252e-05
1000,1.9623415021860918e-05
1001,1.973460413046522e-05
1002,1.9755165372963983e-05
1003,1.9660601610743073e-05
1004,1.95677735110155e-05
1005,1.9775035303219765e-05
1006,1.960590723016788e-05
1007,1.9695816747780377e-05
1008,1.9734740333788676e-05
1009,1.9721392970665536e-05
1010,1.968914074680148e-05
1011,1.9580341441929366e-05
